Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2023-08-08,CUST001,Female,58,Electronics,1,100,100
2,2023-04-10,CUST002,Male,58,Clothing,1,500,500
3,2023-09-30,CUST003,Female,27,Clothing,3,100,300
4,2023-01-02,CUST004,Female,57,Beauty,3,25,75
5,2023-04-08,CUST005,Female,26,Electronics,3,25,75
6,2023-03-05,CUST006,Male,40,Electronics,2,50,100
7,2023-01-14,CUST007,Female,44,Clothing,1,100,100
8,2023-03-18,CUST008,Female,52,Electronics,3,30,90
9,2023-04-14,CUST009,Female,21,Clothing,3,300,900
10,2023-12-05,CUST010,Female,62,Clothing,4,25,100
11,2023-02-10,CUST011,Female,34,Clothing,3,500,1500
12,2023-01-29,CUST012,Male,61,Beauty,3,30,90
13,2023-07-09,CUST013,Male,23,Electronics,3,500,1500
14,2023-06-08,CUST014,Male,33,Clothing,2,300,600
15,2023-04-18,CUST015,Female,57,Electronics,4,500,2000
16,2023-06-07,CUST016,Male,31,Beauty,3,30,90
17,2023-10-14,CUST017,Male,22,Clothing,4,25,100
18,2023-12-22,CUST018,Female,51,Electronics,1,50,50
19,2023-03-01,CUST019,Male,33,Beauty,3,500,1500
20,2023-04-30,CUST020,Male,36,Beauty,4,50,200
21,2023-01-04,CUST021,Male,47,Electronics,4,30,120
22,2023-08-09,CUST022,Female,26,Beauty,3,300,900
23,2023-04-17,CUST023,Female,33,Beauty,1,500,500
24,2023-07-28,CUST024,Male,25,Beauty,3,30,90
25,2023-05-25,CUST025,Female,37,Electronics,2,50,100
26,2023-11-23,CUST026,Female,41,Clothing,3,100,300
27,2023-03-27,CUST027,Female,32,Beauty,3,30,90
28,2023-03-03,CUST028,Male,32,Beauty,2,25,50
29,2023-07-30,CUST029,Female,40,Clothing,3,500,1500
30,2023-10-24,CUST030,Female,25,Electronics,3,500,1500
31,2023-11-23,CUST031,Female,24,Clothing,4,30,120
32,2023-05-23,CUST032,Male,64,Clothing,4,500,2000
33,2023-09-29,CUST033,Female,21,Beauty,3,300,900
34,2023-10-05,CUST034,Male,56,Clothing,4,500,2000
35,2023-08-07,CUST035,Female,39,Electronics,3,50,150
36,2023-12-09,CUST036,Male,33,Electronics,1,50,50
37,2023-01-08,CUST037,Female,48,Electronics,4,500,2000
38,2023-06-20,CUST038,Male,24,Beauty,1,25,25
39,2023-04-17,CUST039,Female,44,Electronics,4,300,1200
40,2023-03-13,CUST040,Male,42,Clothing,2,50,100
41,2023-06-05,CUST041,Female,32,Beauty,3,30,90
42,2023-07-13,CUST042,Male,48,Clothing,1,25,25
43,2023-02-24,CUST043,Male,21,Electronics,2,100,200
44,2023-02-06,CUST044,Male,20,Clothing,1,300,300
45,2023-07-25,CUST045,Female,63,Electronics,3,300,900
46,2023-07-20,CUST046,Male,42,Beauty,1,25,25
47,2023-01-22,CUST047,Female,49,Electronics,3,500,1500
48,2023-01-09,CUST048,Female,33,Beauty,4,100,400
49,2023-03-16,CUST049,Male,62,Beauty,3,500,1500
50,2023-12-08,CUST050,Male,44,Electronics,2,50,100
51,2023-10-01,CUST051,Male,50,Clothing,3,500,1500
