Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,"2023-08-08","CUST001","Female",58,"Electronics",1,100,100
2,"2023-08-17","CUST002","Male",40,"Beauty",4,300,1200
3,"2023-03-13","CUST003","Male",50,"Clothing",1,50,50
4,"2023-01-19","CUST004","Male",19,"Beauty",1,30,30
5,"2023-07-13","CUST005","Female",26,"Electronics",2,300,600
6,"2023-06-14","CUST006","Female",20,"Clothing",3,30,90
7,"2023-03-18","CUST007","Female",52,"Electronics",3,30,90
8,"2023-04-17","CUST008","Female",49,"Electronics",3,500,1500
9,"2023-12-11","CUST009","Female",62,"Beauty",1,25,25
10,"2023-06-25","CUST010","Male",60,"Beauty",3,500,1500
11,"2023-09-15","CUST011","Female",42,"Electronics",1,500,500
12,"2023-12-01","CUST012","Female",45,"Clothing",3,30,90
13,"2023-04-18","CUST013","Female",57,"Electronics",4,500,2000
14,"2023-07-19","CUST014","Female",22,"Electronics",2,300,600
15,"2023-02-04","CUST015","Female",56,"Beauty",4,30,120
16,"2023-09-13","CUST016","Female",37,"Beauty",3,50,150
17,"2023-08-18","CUST017","Male",33,"Electronics",2,25,50
18,"2023-05-15","CUST018","Female",52,"Clothing",4,500,2000
19,"2023-08-09","CUST019","Female",26,"Beauty",3,300,900
20,"2023-04-11","CUST020","Female",19,"Beauty",4,100,400
21,"2023-03-01","CUST021","Female",44,"Beauty",2,50,100
22,"2023-09-08","CUST022","Female",33,"Electronics",2,50,100
23,"2023-07-19","CUST023","Male",29,"Beauty",2,30,60
24,"2023-03-22","CUST024","Female",50,"Beauty",1,30,30
25,"2023-07-30","CUST025","Female",40,"Clothing",3,500,1500
26,"2023-06-10","CUST026","Female",58,"Clothing",4,500,2000
27,"2023-02-23","CUST027","Male",55,"Beauty",2,100,200
28,"2023-06-29","CUST028","Male",57,"Electronics",1,25,25
29,"2023-07-04","CUST029","Male",53,"Electronics",4,100,400
30,"2023-11-08","CUST030","Male",34,"Clothing",4,300,1200
31,"2023-12-09","CUST031","Male",33,"Electronics",1,50,50
32,"2023-02-01","CUST032","Male",52,"Electronics",4,50,200
33,"2023-02-22","CUST033","Female",24,"Beauty",2,50,100
34,"2023-09-19","CUST034","Male",54,"Beauty",3,100,300
35,"2023-06-21","CUST035","Female",37,"Beauty",2,25,50
36,"2023-04-08","CUST036","Male",43,"Clothing",2,25,50
37,"2023-02-24","CUST037","Male",21,"Electronics",2,100,200
38,"2023-10-27","CUST038","Female",35,"Beauty",3,100,300
39,"2023-12-19","CUST039","Male",49,"Electronics",3,300,900
40,"2023-03-06","CUST040","Female",22,"Beauty",2,300,600
41,"2023-07-24","CUST041","Male",19,"Clothing",2,30,60
42,"2023-07-15","CUST042","Female",62,"Electronics",2,100,200
43,"2023-12-08","CUST043","Male",44,"Electronics",2,50,100
44,"2023-07-20","CUST044","Male",44,"Clothing",4,500,2000
45,"2023-04-23","CUST045","Male",49,"Electronics",2,500,1000
46,"2023-11-18","CUST046","Female",33,"Clothing",4,100,400
47,"2023-09-10","CUST047","Female",31,"Electronics",2,30,60
48,"2023-10-09","CUST048","Male",51,"Beauty",4,500,2000
49,"2023-06-22","CUST049","Female",41,"Electronics",3,50,150
50,"2023-08-13","CUST050","Male",42,"Beauty",1,25,25
51,"2023-05-18","CUST051","Male",57,"Electronics",1,25,25
52,"2023-09-13","CUST052","Female",58,"Clothing",4,500,2000
53,"2023-02-06","CUST053","Male",29,"Clothing",2,30,60
54,"2023-07-09","CUST054","Female",45,"Beauty",4,300,1200
55,"2023-02-12","CUST055","Female",19,"Clothing",1,30,30
56,"2023-08-01","CUST056","Male",34,"Clothing",1,300,300
57,"2023-05-18","CUST057","Female",54,"Clothing",1,25,25
58,"2023-06-07","CUST058","Male",55,"Clothing",4,30,120
59,"2023-07-21","CUST059","Male",27,"Electronics",1,25,25
60,"2023-08-09","CUST060","Male",27,"Electronics",3,300,900
61,"2023-12-16","CUST061","Male",31,"Beauty",2,300,600
62,"2023-04-02","CUST062","Male",39,"Beauty",3,100,300
63,"2023-11-08","CUST063","Female",24,"Electronics",1,50,50
64,"2023-08-15","CUST064","Female",49,"Beauty",4,300,1200
65,"2023-03-16","CUST065","Male",53,"Clothing",2,30,60
66,"2023-01-13","CUST066","Male",35,"Clothing",2,100,200
67,"2023-09-01","CUST067","Female",60,"Electronics",3,300,900
